Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Polar Blue Parrot,Polar Blue Parrot,Polar Parrot,American cichlids,Easy,3.0 inches / 76 mm,4.0 inches / 102 mm (Some reports of 8.0 inches),10 years,6.5 - 8.0,72 - 80 F / 22 - 27 C,2 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Koi,Cyprinus carpio,Butterfly Koi,Koi,Moderate,36.0 inches / 914 mm,48.0 inches / 1219 mm,20 - 50 years,6.5 - 7.5,36 - 85 F / 2 - 29 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,5+,1:1,No,Omnivore,"Pellets, koi",Any,Moderate,Moderate,None,1000 gallons / 3785 liters
Zipper Loach,Acanthocobitis botia,"Sand Loach,  Spot Loach,  Striped Loach,  Mottled Loach,  Eye-Spot Loach",Loaches,Easy,4.0 inches / 101 mm,4.3 inches / 109 mm,8 years,6.0 - 7.5,70 - 79 F / 21 - 26 C,10 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Strong,High,20 gallons / 75 liters
Zebra Tilapia,Tilapia buttikoferi,,African cichlids,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,10 years,6.5 - 7.5,72 - 77 F / 22 - 25 C,4 - 15 dGH,Mid,Aggressive,Peaceful,Aggressive,Any,1:1,No,Omnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Low,75 gallons / 283 liters
Zebra Spiny Eel,Mastacembelus zebrinus,,Eels,Moderate,18.0 inches / 457 mm,18.0 inches / 457 mm,5 - 10 years,6.5 - 7.5,73 - 79 F / 23 - 26 C,5 - 15 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,75 gallons / 283 liters
Zebra Pleco,Hypancistrus zebra,,Plecos,Moderate,3.5 inches / 88 mm,3.5 inches / 88 mm,5 - 8 years,6.0 - 7.5,79 - 86 F / 26 - 30 C,2 - 15 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Strong,Moderate,20 gallons / 75 liters
Zebra Oto,Otocinclus cocama,,Misc catfish,Moderate,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,5.5 - 7.5,69 - 79 F / 21 - 26 C,6 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Herbivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Zebra Obliquidens,Haplochromis latifasciatus,,African cichlids,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,3 - 5 years,7.2 - 8.2,73 - 82 F / 23 - 28 C,8 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,6+,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Zebra Loach,Botia striata,"Candy-stripe Loach,  Striped Loach,  Thin Line Loach",Loaches,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,5 - 8 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Strong,Moderate,29 gallons / 109 liters
Zebra Danio,Danio rerio,"Leopard Danio,  Glofish Danio",Danios,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,5 years,6.0 - 8.0,74 - 77 F / 23 - 25 C,5 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
